app_id,label_flag,label_flag_type,privacy_flag,privacy_flag_type,if_equal
pdb.app,1,,1,,
com.epson.ilabel,1,,1,,
com.wheel.legend.speed.car,1,,1,,
com.bibliocommons.llc,1,,1,,
com.amhgroup.boxai,1,,1,,
com.mriaim.littlecreek,1,,1,,
com.watchfacestudio.kzy075,1,,1,,
com.sonigames.easydraw.animals,1,,1,,
com.languagedrops.drops.learn.learning.speak.language.hebrew.words,1,,1,,
io.supercent.chameleonio,1,,1,,
com.exdwatchface.exd0104_core,1,,1,,
kemco.execreate.spiritheropremium,1,,1,,
com.extremedevelopers.toonboom,1,,1,,
com.mtdata.UnicityWinnipeg,1,,1,,
com.ikeyboard.theme.dreamwolf2,1,,1,,
com.hd.video.player.music.player.all.format,1,,1,,
net.teuida.teuida,1,,1,,
com.ZenithGames.JewelIdleArcade,1,,1,,
com.m250k.HeyMrPresident,1,,1,,
de.smuttlewerk.buildthelines,1,,1,,
nl.gemeentedijkenwaard.dijkenwaardbouwapp,1,,1,,
com.brg.squizzle,1,,1,,
com.chi.TaiwanDriver,1,,1,,
com.games2win.superschooldriver,1,,1,,
com.crunchyroll.gv.ponpu,1,,1,,
com.tzstudios.physicalscience,1,,1,,
net.cleverbit.CarPuzzles,1,,1,,
com.schoolpointe.ky_somersetisd,1,,1,,
com.miracast.smartthing.tv.airplay.screenmirroring,1,,1,,
com.neuralplay.android.euchre,1,,1,,
com.inspiredsquare.blocks,1,,1,,
soundbirth.fr.app.gr.aum310,1,,1,,
io.supercent.donutsidle,1,,1,,
co.communico.pgcmls,1,,1,,
com.disney.stickers.junglecruise_goo,1,,1,,
com.blockpuzzle.jewelsudoku.puzzlejewels,1,,1,,
com.thecut.mobile.android.thecut,1,,1,,
com.gamelemo.dreampianomusictiles,1,,1,,
com.ofotech.app,1,,1,,
one4studio.iconpack.aresarctic,1,,1,,
com.fanduel.casino,0,empty privacy block,1,,
com.zariba.klaverjas.offline,1,,1,,
com.ashleyfurniturehomestore.ecomm,1,,1,,
com.watchfacestudio.MimeticReversal,1,,1,,
okey.board.game.rummy.poker.mahjong.tile.okey101.turkey.free,1,,1,,
com.playdigious.whitenight,1,,1,,
com.olx.realestate.app.storia,1,,1,,
easy.sleep.tracker2,1,,1,,
com.languagedrops.drops.learn.learning.speak.language.el.greek.greece.words,1,,1,,
pl.mw.playmagnus,1,,1,,
com.kapron.ap.ispeed,1,,1,,
com.watchfacestudio.in_bit_ween_pro,1,,1,,
com.forefo.embroidery_bed_sheet_design,1,,1,,
ins.bradychrist.com,1,,1,,
com.caveclub.fat,1,,1,,
com.fivebn.trickydoors,1,,1,,
com.staplegames.sudokuClassicGP,1,,1,,
kila.thefoxandthestork,1,,1,,
com.hmg.princess,1,,1,,
jp.auone.wallet,1,,1,,
com.barisefe.brazilnewspapers,1,,1,,
com.blu.collectcolors,1,,1,,
com.smzjdh.tour3,1,,1,,
com.genius.medusaotome,1,,1,,
com.documentreader.viewer.editor.wordoffice,1,,1,,
com.gjg.colorfill3d,1,,1,,
com.superbox.aos.dropbattle,1,,1,,
com.volvocars.mediaserver,0,empty privacy block,1,,
com.vkids.android.englishalphabet,1,,1,,
com.demolition.xtremearenaderby,1,,1,,
com.pdf.photos.converter.image.pic,1,,1,,
com.as.qiblafinder.compass.finddirection.hijricalendar,1,,1,,
com.fc.oz.closet.goods.match.triple.sorting.master,1,,1,,
com.splendapps.checkmate,1,,1,,
org.n116.lynxlauncherthemeterracotta,1,,1,,
kjv.holy.bible.verse.audio,1,,1,,
org.who.cap,1,,1,,
com.pregnancytest.guide,1,,1,,
com.watchfacestudio.chester_lcd_modern,1,,1,,
com.serenasecret.mergegame,1,,1,,
com.mobeasyapp.app1330116830293,1,,1,,
com.lockscreen.drawing.draw.together.love.skizz.lockscreendrawing,1,,1,,
pl.inpost.inmobile,1,,1,,
com.unicostudio.blockpuzzleparty,1,,1,,
es.rtve.eurovision,1,,1,,
com.plant.diseases,1,,1,,
com.kayac.mannequinDownhill,1,,1,,
com.pf.car.crash.survival.challenge.games,1,,1,,
com.spocky.projengmenu,1,,1,,
com.zps.gl3,1,,1,,
com.ArviGuru.Transformation3D,1,,1,,
com.photolab99.phototranslator.camera.language.translator,1,,1,,
com.bbc.heyduggeeweloveanimals,1,,1,,
